user,total_logins,unique_days,after_hours,unique_machines,usb_count,usb_days,employee_name,user_id,O,C,E,A,N,anomaly_score,anomaly_label
AAE0190,37,19,0,1,0.0,0.0,August Armando Evans,AAE0190,36,30,14,50,29,0.14092776763197506,0
AAF0535,37,19,0,1,0.0,0.0,Athena Amelia Foreman,AAF0535,17,21,36,33,31,0.18093211110331708,0
AAF0791,37,19,0,1,0.0,0.0,Aladdin Abraham Foley,AAF0791,14,40,40,50,34,0.11294832811249866,0
AAL0706,37,19,19,1,0.0,0.0,April Alika Levy,AAL0706,37,14,28,13,25,0.15574871363337212,0
AAM0658,37,19,18,1,0.0,0.0,Abel Adam Morton,AAM0658,43,35,37,36,22,0.18648722012473912,0
AAN0823,37,19,18,1,0.0,0.0,Anthony Aidan Nixon,AAN0823,24,16,45,24,28,0.17988187196646377,0
AAS0442,53,19,10,1,0.0,0.0,Amal Alexander Shelton,AAS0442,36,43,22,22,31,0.19483612558730073,0
AAV0450,37,19,7,1,0.0,0.0,Aspen Amber Vinson,AAV0450,44,24,36,41,33,0.18057520313002146,0
AAW0353,37,19,11,1,0.0,0.0,Armando Albert Walter,AAW0353,49,45,19,25,34,0.159698022700813,0
ABC0174,64,23,23,1,0.0,0.0,Allegra Bree Coffey,ABC0174,15,41,34,13,32,0.05335601611147689,0
ABC0253,51,19,19,1,0.0,0.0,Alec Boris Chase,ABC0253,21,15,41,30,28,0.1662798932989492,0
ABH0663,37,19,19,1,0.0,0.0,Alan Benjamin Holder,ABH0663,47,49,41,11,34,0.11947347637971906,0
ABM0845,52,19,18,2,0.0,0.0,Ariel Bertha Murphy,ABM0845,45,21,35,50,29,0.13702368060191933,0
ABN0239,51,19,12,1,0.0,0.0,Amaya Britanni Newton,ABN0239,21,37,20,39,25,0.1792748717247334,0
ACC0042,144,19,108,53,0.0,0.0,Alfonso Colin Cooley,ACC0042,23,19,37,20,31,-0.057262246814315576,1
ACV0812,75,20,44,2,0.0,0.0,Alden Caesar Velez,ACV0812,42,37,12,45,28,0.05236840531035358,0
ADC0391,50,19,24,1,0.0,0.0,Axel Donovan Compton,ADC0391,50,43,40,33,38,0.12233698169584889,0
ADD0846,37,19,18,1,0.0,0.0,Aretha Dorothy Deleon,ADD0846,18,19,25,12,35,0.1622586546213578,0
ADF0397,37,19,21,1,0.0,0.0,Ariana Doris Frazier,ADF0397,39,16,10,40,35,0.12023425890040595,0
AES0827,37,19,18,1,0.0,0.0,Addison Edward Snyder,AES0827,39,40,34,38,23,0.19319686417366938,0
AGB0186,37,19,19,1,0.0,0.0,Alfonso Gage Blankenship,AGB0186,18,10,41,15,35,0.1358251163886463,0
AGB0643,37,19,18,1,0.0,0.0,Armand Gabriel Brewer,AGB0643,32,39,20,44,27,0.18830129848191007,0
AHC0142,63,21,21,2,0.0,0.0,Azalia Halee Cantu,AHC0142,34,23,40,15,26,0.10367000258979936,0
AHD0848,60,21,22,3,0.0,0.0,Aladdin Hu Day,AHD0848,24,30,49,16,30,0.063303293145617,0
AHG0634,55,19,18,2,0.0,0.0,Amir Hayden Gray,AHG0634,31,36,42,41,27,0.16652474004867657,0
AHM0410,64,19,12,3,0.0,0.0,Addison Hiram Morrow,AHM0410,34,43,15,18,26,0.13391532193818168,0
AIB0948,69,19,27,4,0.0,0.0,Ariel Ina Barrett,AIB0948,42,31,27,20,31,0.10371385681721945,0
AIH0675,38,19,12,1,0.0,0.0,Aline Iris Hurst,AIH0675,25,39,38,40,37,0.1700671677937396,0
