user,gt_label,total_logins,unique_days,after_hours,unique_machines,usb_count,usb_days,employee_name,user_id,O,C,E,A,N,anomaly_score,anomaly_label,y_true,y_pred
QNF0205,0,37,19,19,1,0.0,0.0,Quentin Nolan Fitzpatrick,QNF0205,35,41,22,21,29,0.2126367739570811,0,0,0
BWH0813,0,37,19,18,1,0.0,0.0,Brock William Hunter,BWH0813,36,36,33,20,30,0.2125984788456568,0,0,0
NAF0033,0,38,19,19,1,0.0,0.0,Nicolas Alvin Fitzpatrick,NAF0033,34,40,19,35,29,0.2097541511614678,0,0,0
FRR0832,0,37,19,18,1,0.0,0.0,Forrest Rashad Richards,FRR0832,43,40,25,19,30,0.2088697410732032,0,0,0
CAN0842,0,37,19,18,1,0.0,0.0,Chadwick Armand Nunez,CAN0842,38,41,22,39,29,0.208705282263214,0,0,0
HRW0550,0,37,19,13,1,0.0,0.0,Howard Raphael Weiss,HRW0550,38,34,24,22,28,0.2085491285486086,0,0,0
MDM0976,0,37,19,11,1,0.0,0.0,Myles Donovan Macias,MDM0976,41,40,38,20,31,0.2082779360919879,0,0,0
UBF0645,0,37,19,18,1,0.0,0.0,Ursa Britanney Frederick,UBF0645,34,20,34,23,31,0.2079171250554696,0,0,0
PLH0715,0,37,19,19,1,0.0,0.0,Penelope Lysandra Hayes,PLH0715,42,37,19,37,29,0.2079089567670116,0,0,0
NWT0098,1,37,19,19,1,0.0,0.0,Nehru Wyatt Tate,NWT0098,35,39,26,36,33,0.2068624326785671,0,1,0
RFP0380,0,38,19,10,1,0.0,0.0,Reuben Fulton Pugh,RFP0380,39,39,20,20,32,0.2065422828076733,0,0,0
TTD1000,0,37,19,18,1,0.0,0.0,Tiger Tucker Dawson,TTD1000,34,34,24,40,29,0.2055533640555415,0,0,0
OKB0439,0,37,19,10,1,0.0,0.0,Oleg Kane Britt,OKB0439,41,42,30,25,27,0.2053452840956902,0,0,0
